월,지점명,지점번호,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),습도(%),일조시간(hr),전운량(1/10),소형증발량(mm),현지기압(hPa),해면기압(hPa),평균풍속(m/sec)
6,울산,152,21.6,26.1,17.7,155.5,73.5,171.9,6.3,,1003.3,1008.1,1.9
12,울산,152,4.3,9.6,-0.1,28.4,50.9,194.5,3,,1017.8,1023.1,2.1
5,울산,152,18.2,23.7,13.4,107.4,64.6,221.4,5.1,,1006.5,1011.4,2
1,울산,152,2.4,7.4,-1.8,38.6,48.5,192.8,3.3,,1017.5,1022.6,2.3
2,울산,152,4.3,9.6,-0.3,39.9,50.5,184.4,3.8,,1016.5,1021.5,2.3
3,울산,152,8.4,13.7,3.5,68.4,56.1,200.9,4.5,,1013.7,1018.6,2.3
4,울산,152,13.7,19.3,8.5,96.9,59.1,213.1,4.7,,1009.8,1014.8,2.3
7,울산,152,25.2,29.2,22.1,234.1,78.6,155.7,6.8,,1002.6,1007.3,2
8,울산,152,26,30,22.8,234.1,77.7,175.8,6.1,,1004.1,1008.9,2.1
9,울산,152,21.7,26,18.2,170.3,75.8,159,5.9,,1008.6,1013.4,1.9
10,울산,152,16.5,21.8,12.1,74.8,67.1,196.4,4.3,,1013.5,1018.5,1.9
11,울산,152,10.4,15.9,5.7,44.2,60,183.6,3.7,,1016.4,1021.5,1.9
