연월,납(마이크로그램 퍼 세제곱미터) ,카드뮴(마이크로그램 퍼 세제곱미터) ,크롬(마이크로그램 퍼 세제곱미터) ,구리(마이크로그램 퍼 세제곱미터) ,망간(마이크로그램 퍼 세제곱미터) ,철(마이크로그램 퍼 세제곱미터) ,니켈(마이크로그램 퍼 세제곱미터) ,비소(마이크로그램 퍼 세제곱미터) ,베릴륨(마이크로그램 퍼 세제곱미터) ,알루미늄(마이크로그램 퍼 세제곱미터) ,칼슘(마이크로그램 퍼 세제곱미터) ,마그네슘(마이크로그램 퍼 세제곱미터) 
2025-01-01,0.09149,0.00469,0.00263,0.02657,0.03747,0.52214,0.00665,0.01476,0,0.1572,0.45158,0.11938
2025-02-01,0.07537,0.00636,0.00135,0.01684,0.02285,0.27262,0.00294,0.03289,0,0.07042,0.20955,0.0775
2025-03-01,0.0461,0.00195,0.00266,0.01513,0.03403,0.58333,0.00862,0.00873,0,0.23108,0.70332,0.18003
2025-04-01,0.0536,0.00484,0.00247,0.02526,0.04653,0.74231,0.00443,0.01317,0,0.29929,0.77904,0.36815
2025-05-01,0.03667,0.00176,0.00243,0.02064,0.03679,0.49613,0.00423,0.00495,0,0.20874,0.45046,0.18034
2025-06-01,0.06959,0.00377,0.00424,0.04117,0.06246,0.92746,0.00973,0.01511,0,0.33293,0.68035,0.20291
2025-07-01,0.11563,0.00829,0.00239,0.03238,0.05645,0.52349,0.00601,0.02921,0,0.06767,0.21733,0.08287
2025-08-01,0.11613,0.00397,0.00005,0.01488,0.01364,0.38306,0.00137,0.03136,0,0.09431,0.31783,0.10807
2025-09-01,0.06312,0.00424,0.00163,0.02608,0.03415,0.38295,0.00479,0.01293,0,0.10633,0.32504,0.137
2025-10-01,0.0493,0.00315,0.00216,0.03015,0.04049,0.48971,0.00605,0.01165,0,0.11309,0.42001,0.15019
2025-11-01,0.07116,0.00301,0.00364,0.02425,0.06745,0.79201,0.00696,0.01275,0,0.23836,0.63121,0.23743
2025-12-01,0.1533,0.00857,0.00261,0.02069,0.03423,0.64429,0.00529,0.02688,0,0.29074,0.65324,0.16264
