기준연월,시간대,행정동코드,행정동명,이동건수
2022-04,00,2611051000,중앙동,323601
2022-04,05,2611051000,중앙동,363937
2022-04,04,2611051000,중앙동,355988
2022-04,03,2611051000,중앙동,341852
2022-04,23,2611051000,중앙동,333599
2022-04,22,2611051000,중앙동,356806
2022-04,08,2611051000,중앙동,554449
2022-04,21,2611051000,중앙동,370756
2022-04,20,2611051000,중앙동,399406
2022-04,02,2611051000,중앙동,337527
2022-04,06,2611051000,중앙동,374079
2022-04,01,2611051000,중앙동,329759
2022-04,18,2611051000,중앙동,479541
2022-04,17,2611051000,중앙동,588244
2022-04,16,2611051000,중앙동,621611
2022-04,09,2611051000,중앙동,598033
2022-04,15,2611051000,중앙동,638708
2022-04,14,2611051000,중앙동,654519
2022-04,13,2611051000,중앙동,660151
2022-04,12,2611051000,중앙동,653415
2022-04,11,2611051000,중앙동,645541
2022-04,19,2611051000,중앙동,432626
2022-04,07,2611051000,중앙동,420719
2022-04,10,2611051000,중앙동,624498
2022-04,17,2611052000,동광동,96256
2022-04,00,2611052000,동광동,72929
2022-04,11,2611052000,동광동,106306
2022-04,15,2611052000,동광동,102373
2022-04,22,2611052000,동광동,84097
2022-04,23,2611052000,동광동,74075
2022-04,05,2611052000,동광동,71542
2022-04,06,2611052000,동광동,72993
2022-04,12,2611052000,동광동,106479
2022-04,18,2611052000,동광동,86982
2022-04,14,2611052000,동광동,104769
2022-04,10,2611052000,동광동,104623
2022-04,03,2611052000,동광동,73413
2022-04,04,2611052000,동광동,73006
2022-04,01,2611052000,동광동,74372
2022-04,02,2611052000,동광동,73290
2022-04,20,2611052000,동광동,87472
2022-04,08,2611052000,동광동,96219
2022-04,21,2611052000,동광동,85147
2022-04,16,2611052000,동광동,100585
2022-04,07,2611052000,동광동,80077
2022-04,09,2611052000,동광동,102274
2022-04,19,2611052000,동광동,86718
2022-04,13,2611052000,동광동,105917
2022-04,20,2611053000,대청동,204778
2022-04,01,2611053000,대청동,222281
2022-04,16,2611053000,대청동,273937
2022-04,04,2611053000,대청동,226658
2022-04,03,2611053000,대청동,224305
2022-04,07,2611053000,대청동,223729
2022-04,18,2611053000,대청동,224082
2022-04,14,2611053000,대청동,298532
2022-04,06,2611053000,대청동,221269
2022-04,10,2611053000,대청동,268468
2022-04,12,2611053000,대청동,284831
2022-04,00,2611053000,대청동,218401
2022-04,19,2611053000,대청동,211688
2022-04,05,2611053000,대청동,224674
2022-04,09,2611053000,대청동,259915
2022-04,21,2611053000,대청동,201896
2022-04,11,2611053000,대청동,277722
2022-04,15,2611053000,대청동,290541
2022-04,08,2611053000,대청동,247512
2022-04,23,2611053000,대청동,212242
2022-04,22,2611053000,대청동,202764
2022-04,13,2611053000,대청동,295287
2022-04,02,2611053000,대청동,223124
2022-04,17,2611053000,대청동,253374
2022-04,14,2611054500,보수동,202629
2022-04,21,2611054500,보수동,213206
2022-04,15,2611054500,보수동,200106
2022-04,02,2611054500,보수동,257503
2022-04,09,2611054500,보수동,216759
2022-04,17,2611054500,보수동,196548
2022-04,08,2611054500,보수동,225100
2022-04,03,2611054500,보수동,258121
2022-04,13,2611054500,보수동,204832
2022-04,20,2611054500,보수동,208872
2022-04,23,2611054500,보수동,246803
2022-04,16,2611054500,보수동,199453
2022-04,22,2611054500,보수동,220133
2022-04,18,2611054500,보수동,199318
2022-04,04,2611054500,보수동,255832
2022-04,05,2611054500,보수동,252084
2022-04,07,2611054500,보수동,235966
2022-04,10,2611054500,보수동,213352
2022-04,01,2611054500,보수동,255225
2022-04,12,2611054500,보수동,207039
2022-04,00,2611054500,보수동,252519
2022-04,06,2611054500,보수동,245363
2022-04,19,2611054500,보수동,203594
2022-04,11,2611054500,보수동,211696
2022-04,07,2611056000,부평동,331075
2022-04,05,2611056000,부평동,322515
2022-04,15,2611056000,부평동,392958
2022-04,06,2611056000,부평동,324275
2022-04,02,2611056000,부평동,323866
2022-04,19,2611056000,부평동,427754
2022-04,10,2611056000,부평동,370811
2022-04,22,2611056000,부평동,395804
2022-04,11,2611056000,부평동,380141
2022-04,21,2611056000,부평동,412821
2022-04,09,2611056000,부평동,359693
2022-04,08,2611056000,부평동,343317
2022-04,17,2611056000,부평동,403875
2022-04,23,2611056000,부평동,361406
2022-04,20,2611056000,부평동,421365
2022-04,04,2611056000,부평동,321734
2022-04,12,2611056000,부평동,382767
2022-04,13,2611056000,부평동,387202
2022-04,14,2611056000,부평동,394295
2022-04,16,2611056000,부평동,396224
2022-04,03,2611056000,부평동,321930
2022-04,18,2611056000,부평동,418947
2022-04,01,2611056000,부평동,328066
2022-04,00,2611056000,부평동,335482
2022-04,19,2611057000,광복동,101698
2022-04,11,2611057000,광복동,93252
2022-04,08,2611057000,광복동,34341
2022-04,07,2611057000,광복동,27221
2022-04,17,2611057000,광복동,123807
2022-04,00,2611057000,광복동,23048
2022-04,18,2611057000,광복동,116295
2022-04,13,2611057000,광복동,134320
2022-04,15,2611057000,광복동,138142
2022-04,03,2611057000,광복동,21273
2022-04,20,2611057000,광복동,80389
2022-04,04,2611057000,광복동,21087
2022-04,23,2611057000,광복동,25613
2022-04,14,2611057000,광복동,138167
2022-04,12,2611057000,광복동,118663
2022-04,05,2611057000,광복동,21890
2022-04,01,2611057000,광복동,21874
2022-04,02,2611057000,광복동,21295
2022-04,21,2611057000,광복동,57466
2022-04,06,2611057000,광복동,22889
