거래일자,거래시간,지역,연료원,전력거래량(MWh)
2024-01-01,1,강원도,태양광,0
2024-01-01,2,강원도,태양광,0
2024-01-01,3,강원도,태양광,0
2024-01-01,4,강원도,태양광,0
2024-01-01,5,강원도,태양광,0
2024-01-01,6,강원도,태양광,0
2024-01-01,7,강원도,태양광,0
2024-01-01,8,강원도,태양광,0.003085
2024-01-01,9,강원도,태양광,3.894203
2024-01-01,10,강원도,태양광,14.312501
2024-01-01,11,강원도,태양광,28.720205
2024-01-01,12,강원도,태양광,54.668437
2024-01-01,13,강원도,태양광,91.763795
2024-01-01,14,강원도,태양광,100.19142
2024-01-01,15,강원도,태양광,81.784509
2024-01-01,16,강원도,태양광,57.59581
2024-01-01,17,강원도,태양광,34.96892
2024-01-01,18,강원도,태양광,19.655846
2024-01-01,19,강원도,태양광,22.664227
2024-01-01,20,강원도,태양광,7.602342
2024-01-01,21,강원도,태양광,1.846617
2024-01-01,22,강원도,태양광,0.121928
2024-01-01,23,강원도,태양광,0.00128
2024-01-01,24,강원도,태양광,0
2024-01-01,1,경기도,태양광,0.0021
2024-01-01,2,경기도,태양광,0
2024-01-01,3,경기도,태양광,0
2024-01-01,4,경기도,태양광,0
2024-01-01,5,경기도,태양광,0
2024-01-01,6,경기도,태양광,0
2024-01-01,7,경기도,태양광,0
2024-01-01,8,경기도,태양광,0.031515
2024-01-01,9,경기도,태양광,7.342147
2024-01-01,10,경기도,태양광,31.534222
2024-01-01,11,경기도,태양광,59.955117
2024-01-01,12,경기도,태양광,73.80364
2024-01-01,13,경기도,태양광,82.231564
2024-01-01,14,경기도,태양광,82.738228
2024-01-01,15,경기도,태양광,52.984739
2024-01-01,16,경기도,태양광,23.344867
2024-01-01,17,경기도,태양광,13.308723
2024-01-01,18,경기도,태양광,7.398172
2024-01-01,19,경기도,태양광,4.795283
2024-01-01,20,경기도,태양광,3.197685
2024-01-01,21,경기도,태양광,3.797224
2024-01-01,22,경기도,태양광,3.083866
2024-01-01,23,경기도,태양광,0.519399
2024-01-01,24,경기도,태양광,0
2024-01-01,1,경상남도,태양광,0.0012
2024-01-01,2,경상남도,태양광,0.006984
2024-01-01,3,경상남도,태양광,0
2024-01-01,4,경상남도,태양광,0
2024-01-01,5,경상남도,태양광,0
2024-01-01,6,경상남도,태양광,0
2024-01-01,7,경상남도,태양광,0
2024-01-01,8,경상남도,태양광,0.793468
2024-01-01,9,경상남도,태양광,32.026578
2024-01-01,10,경상남도,태양광,117.296816
2024-01-01,11,경상남도,태양광,196.379024
2024-01-01,12,경상남도,태양광,235.072353
2024-01-01,13,경상남도,태양광,244.383116
2024-01-01,14,경상남도,태양광,223.954304
2024-01-01,15,경상남도,태양광,148.39179
2024-01-01,16,경상남도,태양광,89.6809
2024-01-01,17,경상남도,태양광,42.77187
2024-01-01,18,경상남도,태양광,24.715497
2024-01-01,19,경상남도,태양광,28.60079
2024-01-01,20,경상남도,태양광,23.740703
2024-01-01,21,경상남도,태양광,15.339467
2024-01-01,22,경상남도,태양광,7.95505
2024-01-01,23,경상남도,태양광,2.482488
2024-01-01,24,경상남도,태양광,0.79532
2024-01-01,1,경상북도,태양광,0
2024-01-01,2,경상북도,태양광,0
2024-01-01,3,경상북도,태양광,0
2024-01-01,4,경상북도,태양광,0
2024-01-01,5,경상북도,태양광,0
2024-01-01,6,경상북도,태양광,0
2024-01-01,7,경상북도,태양광,0
2024-01-01,8,경상북도,태양광,0.339784
2024-01-01,9,경상북도,태양광,25.288668
2024-01-01,10,경상북도,태양광,112.374636
2024-01-01,11,경상북도,태양광,211.536067
2024-01-01,12,경상북도,태양광,282.062571
2024-01-01,13,경상북도,태양광,313.101585
2024-01-01,14,경상북도,태양광,272.056203
2024-01-01,15,경상북도,태양광,179.352742
2024-01-01,16,경상북도,태양광,93.631492
2024-01-01,17,경상북도,태양광,49.014497
2024-01-01,18,경상북도,태양광,32.67619
2024-01-01,19,경상북도,태양광,58.200845
2024-01-01,20,경상북도,태양광,52.282319
2024-01-01,21,경상북도,태양광,36.196371
2024-01-01,22,경상북도,태양광,15.059453
2024-01-01,23,경상북도,태양광,4.492204
2024-01-01,24,경상북도,태양광,0.650871
2024-01-01,1,광주시,태양광,0
2024-01-01,2,광주시,태양광,0.00116
2024-01-01,3,광주시,태양광,0
2024-01-01,4,광주시,태양광,0
2024-01-01,5,광주시,태양광,0
2024-01-01,6,광주시,태양광,0
2024-01-01,7,광주시,태양광,0
2024-01-01,8,광주시,태양광,0.033439
2024-01-01,9,광주시,태양광,3.581411
2024-01-01,10,광주시,태양광,13.885355
2024-01-01,11,광주시,태양광,25.173759
2024-01-01,12,광주시,태양광,25.388479
2024-01-01,13,광주시,태양광,14.3442
2024-01-01,14,광주시,태양광,22.88699
2024-01-01,15,광주시,태양광,23.443691
2024-01-01,16,광주시,태양광,8.254203
2024-01-01,17,광주시,태양광,4.810563
2024-01-01,18,광주시,태양광,2.27085
2024-01-01,19,광주시,태양광,1.49404
2024-01-01,20,광주시,태양광,0.66904
2024-01-01,21,광주시,태양광,0.47854
2024-01-01,22,광주시,태양광,0.19782
2024-01-01,23,광주시,태양광,0.0005
2024-01-01,24,광주시,태양광,0
2024-01-01,1,대구시,태양광,0
2024-01-01,2,대구시,태양광,0
2024-01-01,3,대구시,태양광,0
2024-01-01,4,대구시,태양광,0
2024-01-01,5,대구시,태양광,0
2024-01-01,6,대구시,태양광,0
2024-01-01,7,대구시,태양광,0
2024-01-01,8,대구시,태양광,0.057169
2024-01-01,9,대구시,태양광,3.302857
2024-01-01,10,대구시,태양광,12.419285
2024-01-01,11,대구시,태양광,21.87483
2024-01-01,12,대구시,태양광,28.02158
2024-01-01,13,대구시,태양광,30.393004
2024-01-01,14,대구시,태양광,29.070558
2024-01-01,15,대구시,태양광,23.593793
2024-01-01,16,대구시,태양광,13.284267
2024-01-01,17,대구시,태양광,5.035936
2024-01-01,18,대구시,태양광,2.524505
2024-01-01,19,대구시,태양광,2.972456
2024-01-01,20,대구시,태양광,1.073216
2024-01-01,21,대구시,태양광,0.60576
2024-01-01,22,대구시,태양광,0.13344
2024-01-01,23,대구시,태양광,0
2024-01-01,24,대구시,태양광,0
2024-01-01,1,대전시,태양광,0
2024-01-01,2,대전시,태양광,0
2024-01-01,3,대전시,태양광,0
2024-01-01,4,대전시,태양광,0
2024-01-01,5,대전시,태양광,0
2024-01-01,6,대전시,태양광,0
2024-01-01,7,대전시,태양광,0
2024-01-01,8,대전시,태양광,0.000225
2024-01-01,9,대전시,태양광,0.223656
2024-01-01,10,대전시,태양광,1.025042
2024-01-01,11,대전시,태양광,2.897302
